protocol,noise_model,parameter,circuit_label,n_failed_test_rounds,decoded_output,correct_value,match,computation_outcomes_count
FK12,malicious,0.25,circuit3928.qasm,20,1.0,1,✓,"{'011': 28, '111': 44, '100': 14, '000': 14}"
FK12,malicious,0.25,circuit4065.qasm,11,,0,✗,"{'010': 20, '001': 3, '101': 10, '110': 12, '011': 20, '111': 17, '100': 11, '000': 7}"
FK12,malicious,0.25,circuit0338.qasm,19,0.0,0,✓,"{'000': 21, '001': 7, '110': 8, '100': 20, '101': 7, '011': 18, '111': 12, '010': 7}"
FK12,malicious,0.25,circuit9699.qasm,16,1.0,1,✓,"{'011': 11, '001': 18, '111': 41, '000': 14, '101': 7, '110': 3, '010': 2, '100': 4}"
FK12,malicious,0.25,circuit7117.qasm,23,1.0,1,✓,"{'111': 48, '001': 17, '011': 15, '000': 8, '100': 7, '110': 4, '101': 1}"
FK12,malicious,0.25,circuit4800.qasm,18,1.0,1,✓,"{'010': 10, '101': 23, '001': 15, '000': 10, '110': 32, '011': 3, '100': 5, '111': 2}"
FK12,malicious,0.25,circuit2235.qasm,17,,0,✗,"{'111': 23, '001': 31, '101': 11, '010': 6, '100': 11, '110': 5, '011': 7, '000': 6}"
FK12,malicious,0.25,circuit4577.qasm,17,1.0,1,✓,"{'000': 7, '011': 12, '001': 21, '111': 32, '101': 10, '110': 11, '100': 4, '010': 3}"
FK12,malicious,0.25,circuit3825.qasm,19,1.0,1,✓,"{'101': 22, '001': 8, '100': 28, '000': 20, '010': 9, '111': 1, '011': 6, '110': 6}"
FK12,malicious,0.25,circuit7085.qasm,20,0.0,0,✓,"{'011': 47, '000': 13, '111': 27, '100': 13}"
FK12,malicious,0.25,circuit4214.qasm,17,1.0,1,✓,"{'010': 24, '101': 39, '100': 3, '111': 4, '001': 12, '110': 10, '011': 6, '000': 2}"
FK12,malicious,0.3,circuit5463.qasm,14,,0,✗,"{'000': 14, '100': 26, '011': 36, '111': 24}"
FK12,malicious,0.3,circuit8843.qasm,18,1.0,1,✓,"{'000': 28, '100': 46, '011': 19, '111': 7}"
FK12,malicious,0.3,circuit3966.qasm,13,,1,✗,"{'101': 44, '001': 47, '000': 3, '100': 6}"
FK12,malicious,0.3,circuit2875.qasm,19,1.0,1,✓,"{'010': 8, '011': 15, '101': 17, '111': 20, '100': 8, '001': 16, '000': 10, '110': 6}"
FK12,malicious,0.3,circuit6764.qasm,10,,0,✗,"{'100': 32, '111': 18, '000': 39, '011': 11}"
FK12,malicious,0.3,circuit9797.qasm,16,0.0,0,✓,"{'110': 19, '000': 41, '100': 21, '010': 19}"
FK12,malicious,0.3,circuit0970.qasm,18,0.0,0,✓,"{'110': 29, '010': 28, '000': 22, '101': 5, '100': 8, '011': 1, '001': 6, '111': 1}"
FK12,malicious,0.3,circuit0389.qasm,20,1.0,1,✓,"{'110': 40, '010': 16, '000': 27, '100': 15, '001': 1, '011': 1}"
FK12,malicious,0.3,circuit7354.qasm,21,1.0,1,✓,"{'010': 34, '110': 46, '111': 12, '011': 8}"
FK12,malicious,0.3,circuit6467.qasm,17,1.0,1,✓,"{'111': 16, '100': 15, '000': 9, '011': 12, '110': 11, '001': 10, '010': 15, '101': 12}"
FK12,malicious,0.3,circuit2595.qasm,19,1.0,0,✗,"{'101': 10, '100': 14, '011': 38, '000': 6, '111': 28, '001': 3, '110': 1}"
FK12,malicious,0.3,circuit1761.qasm,17,1.0,1,✓,"{'101': 41, '111': 10, '001': 24, '011': 25}"
FK12,malicious,0.3,circuit6682.qasm,16,0.0,1,✗,"{'011': 32, '111': 40, '000': 19, '100': 9}"
FK12,malicious,0.3,circuit4894.qasm,13,,0,✗,"{'010': 42, '110': 29, '101': 21, '001': 8}"
FK12,malicious,0.3,circuit1233.qasm,16,0.0,0,✓,"{'100': 15, '111': 20, '110': 10, '011': 33, '000': 6, '101': 4, '010': 10, '001': 2}"
FK12,malicious,0.3,circuit9978.qasm,21,1.0,1,✓,"{'100': 7, '001': 33, '111': 35, '011': 11, '010': 4, '101': 7, '110': 2, '000': 1}"
FK12,malicious,0.3,circuit8080.qasm,18,1.0,1,✓,"{'110': 25, '111': 17, '011': 11, '010': 19, '101': 5, '001': 8, '100': 8, '000': 7}"
FK12,malicious,0.3,circuit6073.qasm,16,1.0,1,✓,"{'101': 51, '001': 25, '110': 9, '010': 5, '111': 5, '011': 5}"
FK12,malicious,0.3,circuit4460.qasm,18,0.0,0,✓,"{'100': 31, '000': 43, '111': 9, '011': 17}"
FK12,malicious,0.3,circuit5351.qasm,17,0.0,0,✓,"{'110': 28, '010': 45, '011': 4, '001': 7, '111': 4, '101': 8, '100': 3, '000': 1}"
FK12,malicious,0.3,circuit5990.qasm,19,1.0,1,✓,"{'101': 10, '110': 40, '001': 14, '111': 3, '000': 4, '010': 22, '100': 4, '011': 3}"
FK12,malicious,0.3,circuit3406.qasm,20,1.0,0,✗,"{'011': 7, '100': 9, '001': 23, '101': 17, '110': 24, '010': 10, '111': 4, '000': 6}"
FK12,malicious,0.3,circuit3928.qasm,18,1.0,1,✓,"{'011': 31, '111': 43, '100': 13, '000': 13}"
FK12,malicious,0.3,circuit0354.qasm,21,1.0,0,✗,"{'100': 32, '111': 16, '000': 36, '010': 3, '011': 7, '110': 2, '101': 1, '001': 3}"
FK12,malicious,0.3,circuit5594.qasm,17,1.0,1,✓,"{'110': 39, '000': 12, '101': 9, '010': 14, '111': 5, '100': 11, '001': 4, '011': 6}"
FK12,malicious,0.3,circuit3927.qasm,17,0.0,1,✗,"{'011': 22, '001': 23, '110': 4, '101': 36, '000': 5, '111': 7, '010': 2, '100': 1}"
FK12,malicious,0.3,circuit5377.qasm,16,0.0,0,✓,"{'010': 10, '011': 40, '110': 6, '001': 2, '111': 23, '100': 5, '101': 12, '000': 2}"
FK12,malicious,0.3,circuit0338.qasm,18,1.0,0,✗,"{'000': 21, '100': 18, '101': 8, '111': 17, '011': 19, '001': 4, '110': 9, '010': 4}"
FK12,malicious,0.3,circuit9699.qasm,19,1.0,1,✓,"{'111': 36, '000': 14, '011': 19, '101': 7, '100': 5, '110': 6, '001': 11, '010': 2}"
FK12,malicious,0.3,circuit6984.qasm,18,1.0,1,✓,"{'010': 29, '110': 45, '000': 7, '101': 4, '001': 12, '011': 1, '100': 2}"
FK12,malicious,0.3,circuit7117.qasm,18,1.0,1,✓,"{'011': 23, '111': 43, '000': 10, '100': 3, '101': 7, '001': 12, '110': 2}"
FK12,malicious,0.3,circuit8792.qasm,20,0.0,0,✓,"{'101': 25, '001': 35, '110': 12, '111': 9, '010': 9, '000': 4, '011': 5, '100': 1}"
FK12,malicious,0.3,circuit2235.qasm,17,0.0,0,✓,"{'001': 25, '100': 5, '111': 18, '110': 8, '000': 11, '101': 13, '010': 12, '011': 8}"
FK12,malicious,0.3,circuit4577.qasm,13,,1,✗,"{'100': 18, '000': 8, '001': 19, '011': 15, '111': 21, '010': 8, '110': 5, '101': 6}"
