protocol,noise_model,parameter,circuit_label,n_failed_test_rounds,decoded_output,correct_value,match,computation_outcomes_count
FK12,malicious,0.6,circuit5351.qasm,33,None,0,✗,"{'110': 42, '000': 3, '011': 4, '010': 27, '101': 10, '111': 7, '001': 7}"
FK12,malicious,0.6,circuit5990.qasm,28,None,1,✗,"{'101': 16, '010': 35, '110': 34, '011': 2, '001': 4, '100': 3, '111': 5, '000': 1}"
FK12,malicious,0.6,circuit3406.qasm,24,None,0,✗,"{'111': 10, '011': 5, '001': 16, '110': 21, '100': 7, '000': 7, '101': 21, '010': 13}"
FK12,malicious,0.6,circuit7046.qasm,31,None,0,✗,"{'111': 30, '011': 41, '101': 5, '010': 1, '000': 9, '001': 7, '100': 6, '110': 1}"
FK12,malicious,0.6,circuit5794.qasm,35,None,0,✗,"{'100': 38, '010': 6, '001': 6, '000': 20, '110': 15, '111': 4, '011': 8, '101': 3}"
FK12,malicious,0.6,circuit3928.qasm,27,None,1,✗,"{'011': 42, '111': 32, '100': 10, '000': 16}"
FK12,malicious,0.6,circuit0354.qasm,28,None,0,✗,"{'000': 31, '101': 10, '100': 29, '011': 9, '111': 7, '001': 6, '010': 7, '110': 1}"
FK12,malicious,0.6,circuit5594.qasm,38,None,1,✗,"{'000': 19, '001': 6, '110': 18, '010': 28, '111': 6, '100': 17, '101': 4, '011': 2}"
FK12,malicious,0.6,circuit3927.qasm,28,None,1,✗,"{'111': 18, '001': 39, '110': 4, '100': 2, '011': 10, '101': 21, '010': 5, '000': 1}"
FK12,malicious,0.6,circuit5377.qasm,29,None,0,✗,"{'111': 39, '100': 4, '011': 31, '101': 8, '010': 2, '000': 8, '110': 5, '001': 3}"
FK12,malicious,0.6,circuit4065.qasm,34,None,0,✗,"{'011': 23, '010': 14, '110': 18, '111': 20, '001': 6, '100': 6, '000': 7, '101': 6}"
FK12,malicious,0.6,circuit0338.qasm,28,None,0,✗,"{'001': 4, '111': 26, '101': 7, '011': 19, '100': 20, '010': 7, '000': 14, '110': 3}"
FK12,malicious,0.6,circuit9699.qasm,30,None,1,✗,"{'011': 38, '001': 10, '111': 27, '000': 5, '010': 2, '101': 11, '100': 6, '110': 1}"
FK12,malicious,0.6,circuit2149.qasm,34,None,1,✗,"{'100': 32, '000': 47, '111': 12, '011': 9}"
FK12,malicious,0.6,circuit6984.qasm,32,None,1,✗,"{'110': 29, '001': 13, '010': 42, '101': 6, '000': 4, '100': 6}"
FK12,malicious,0.6,circuit9745.qasm,30,None,1,✗,"{'100': 4, '000': 6, '101': 27, '011': 10, '111': 19, '001': 26, '010': 5, '110': 3}"
FK12,malicious,0.6,circuit7117.qasm,22,None,1,✗,"{'011': 47, '111': 27, '101': 12, '000': 5, '001': 6, '100': 3}"
FK12,malicious,0.6,circuit4800.qasm,30,None,1,✗,"{'101': 13, '001': 15, '010': 23, '000': 8, '011': 9, '110': 18, '111': 6, '100': 8}"
